originador;tipo_contrato;data_vencimento;duration;tipo_remuneracao;taxa_correcao
CAMIL ALIMENTOS S.A.;CRA;20/12/2021;550.64;IPCA;97.0
FIBRIA CELULOSE S.A.;CRA;23/06/2023;895.71;IPCA;59.844
FIBRIA CELULOSE S.A.;CRA;15/08/2023;886.63;IPCA;59.844
FIBRIA CELULOSE S.A.;CRA;15/12/2023;967.44;Pre;61.346
FIBRIA CELULOSE S.A.;CRA;17/01/2022;578.6;Pre;99.0
IPIRANGA PRODUTOS DE PETRÓLEO ;CRA;18/04/2022;628.0;Pre;95.0
KLABIN;CRA;28/03/2022;614.09;Pre;95.0
KLABIN;CRA;20/12/2023;977.2;Pre;97.5
SUZANO PAPEL E CELULOSE S.A.;CRA;25/11/2024;1149.08;Pre;96.0
VLI MULTIMODAL S.A.;CRA;24/02/2022;593.73;Pre;95.0
RAÍZEN ENERGIA LTDA.;CRA;14/06/2021;443.26;Pre;0.0
FIBRIA CELULOSE S.A. ;CRA;23/09/2022;718.04;Pre;97.0
NORSA REFRIGERANTES S.A.;CRA;03/10/2022;725.64;Pre;96.0
RAÍZEN COMBUSTÍVEIS;CRA;15/12/2023;974.89;Pre;97.0
RAÍZEN ENERGIA S.A;CRA;17/04/2024;1073.76;Pre;47.258
RAÍZEN ENERGIA S.A;CRA;19/04/2023;837.4;Pre;96.0
RAÍZEN TARUMÃ LTDA.;CRA;18/05/2022;646.27;Pre;98.0
BRF S.A.;CRA;16/12/2020;323.71;Pre;96.0
BRF S.A.;CRA;18/12/2023;946.56;Pre;5.897
IPIRANGA PRODUTOS DE PETRÓLEO S.A.;CRA;25/10/2022;740.54;Pre;95.0
SÃO MARTINHO S.A.;CRA;19/04/2023;861.35;Pre;50.894
SÃO MARTINHO S.A.;CRA;19/04/2021;405.54;Pre;96.0
SÃO MARTINHO S.A.;CRA;15/03/2023;811.19;Pre;99.0
MULTIPLAN EMPREENDIMENTOS IMOBILIÁRIOS S.A. ;CRI;15/12/2022;775.93;Pre;95.0
ALIANSCE SHOPPING CENTERS S.A. ;CRI;30/09/2021;;Pre;0.0
ALIANSCE SHOPPING CENTERS S.A. ;CRI;01/06/2022;656.0;Pre;99.0
ORK EMPREENDIMENTOS IMOBILIÁRIOS SPE LTDA ;CRI;12/07/2023;690.27;Pre;-0.1
MINERVA S.A.;CRA;05/10/2020;280.78;Pre;105.5
