cod_fundo;nome;classe;situaçao;inicio;atualização
191; BRADESCO H FC FIA ACUMULACAO;ações; A; 1967-07-03; 2019-06-13T11
231; BRADESCO PRIME FIC DE FIA ACTIVE;ações; A; 1980-01-01; 2019-06-13T11
612; BB ACOES IBRX INDEXADO FC FI;ações; A; 1980-01-01; 2019-06-17T17
779; ITAU PERSONNALITE ACOES IBRX ATIVO FICFI;ações; A; 1980-01-01; 2019-06-13T12
981; BRADESCO PRIME FIC DE FIA INDEX;ações; A; 1980-01-01; 2019-06-13T11
1082; FIC FIA BRB ACOES 500;ações; A; 1980-01-01; 2019-07-17T16
1643; ELITE FUNDO DE INVESTIMENTO EM ACOES;ações; A; 1980-01-01; 2020-02-07T18
1856; SANTANDER FC FI ACOES;ações; A; 1980-01-01; 2020-05-29T16
1988; ITAU ACOES IBRX ATIVO FICFI;ações; A; 1980-01-01; 2019-06-13T12
1996; ITAU MONEY MARKET RENDA FIXA FICFI; Renda Fixa; A; 1980-01-01; 2015-10-02T21
2135; MB FUNDO DE INVESTIMENTO EM ACOES;ações; A; 1980-01-01; 2020-03-11T00
2224; BRADESCO H FIA IBOVESPA;ações; A; 1980-01-01; 2020-06-02T16
2331; ITAU ACOES BLUE FICFI;ações; A; 1980-01-01; 2019-07-05T17
5002; BRADESCO FIC DE FI REF DI SPECIAL; Renda Fixa; A; 1990-08-17; 2016-12-09T15
5193; IP PARTICIPACOES FC FI ACOES BDR NIVEL I;ações; A; 1990-07-03; 2019-11-05T16
6211; BNB SELECAO FI ACOES;ações; A; 1991-06-05; 2019-09-16T16
6939; SANTANDER FC FI EXTRA PLUS RF REF DI; Renda Fixa; A; 1992-01-02; 2020-08-11T10
7412; ITAU ACOES IBOVESPA ATIVO FC;ações; A; 1992-07-07; 2019-06-13T11
7420; ITAU ACOES INDEX IBOV FICFI;ações; A; 1992-07-07; 2019-06-13T11
7439; WA ACOES IBOV ATIVO SILVER FICFI;ações; A; 1992-07-21; 2019-06-07T18
